"key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one"
1,0.009750201450443191,0.06239815784537783,0.026500850342536363,0.953051587210856,9352,0.9324495996142409,14.118418862908353,0.9551477861179258,0.8125990265361791,0.003464947622884771,0.0692989524576954,0.021183800836435174
2,0.016229838709677417,0.09715305415910254,0.03955960928258444,0.9060655215649057,4817,0.8676676699620508,14.106157115263434,0.9505895381884965,1.068435602968143,0.005342741935483871,0.10685483870967742,0.0320035446262336
3,0.017748091603053438,0.11209931925580781,0.036369293986709246,0.8828440187674652,2807,0.823140470998339,14.080740789752934,0.9245247408104212,1.3108709887027612,0.005916030534351145,0.1183206106870229,0.03323308705679927
4,0.020608108108108102,0.11593468468468467,0.033596684748649144,0.8798333485058726,1704,0.7928887711715513,14.085297650061753,0.9047256973774604,1.498092408917222,0.0077702702702702724,0.1554054054054054,0.034558392161198555
5,0.031609195402298854,0.20509943440977926,0.0675148102238802,0.8311703688581947,1018,0.7268102001026159,14.13066341640173,0.9259369754003348,1.5938779385372224,0.013793103448275864,0.27586206896551724,0.075142220303165
6,0.02843137254901961,0.20429505135387485,0.058112615250467105,0.6758858706888196,540,0.5726272417293122,13.991813827171034,0.9295803417160242,1.7973039804586375,0.013725490196078431,0.27450980392156865,0.05817322237604242
7,0.0196969696969697,0.15865800865800866,0.040024246486587194,0.7182382500464064,353,0.6205934756433787,14.037207344309504,0.9559764263485078,1.6511774278161042,0.013636363636363637,0.2727272727272727,0.06034919082262125
8,0.011363636363636364,0.08712121212121211,0.03339669369882045,0.8486629658665913,258,0.7402665433817552,13.957452267689632,0.9609206007960057,1.6097394063759163,0.002272727272727273,0.045454545454545456,0.029576067680826434
9,0.014285714285714287,0.09166666666666666,0.14886364913257658,0.6241183251455539,138,0.4428983861639589,13.876978994517989,0.9210565269477845,2.268684946245693,0.0,0.0,0.0001304603921746488
10,0.01666666666666667,0.19444444444444445,0.05735956111023288,0.9023580904985635,107,0.7167179916707043,14.147242795032549,0.9560667815455373,1.8095869920151781,0.01666666666666667,0.3333333333333333,0.06348886818888354
11,0.0,0.0,0.004047325928109948,0.48692111875621585,57,0.28339107396287566,13.966842948485853,0.9474985034408911,2.1801969138951494,0.0,0.0,3.7112636865627644e-05
12,0.0125,0.125,0.011932596382411126,0.5211194891499964,52,0.3125577406295424,13.86567774565819,0.9794111545870631,1.5099337684038587,0.0,0.0,3.7112636865627644e-05
13,0.025,0.5,0.04868035190615836,0.5658867210602819,40,0.37505774062954234,13.932519513893794,0.9968265804253349,0.8060477195191538,0.025,0.5,0.04868035190615836
