key,precision,recall,mrr,diversity,aggregate_diversity,unexpectedness,novelty,herfindahl_diversity,entropy_diversity,precision_at_one,recall_at_one,mrr_at_one
1,0.0033128506545551696,0.02518879880220489,0.012626089039002785,0.9776582811705944,21.0,0.9957726846152612,6.098628266347588,-18.56216815543339,0.38539854683779384,0.001295752070531659,0.025915041410633183,0.012712597950988527
2,0.003901950975487744,0.02554991640432951,0.010792932545169633,0.9777581961679739,22.0,0.9957187713568808,6.0965913306341095,-18.567898016651196,0.38596421622265403,0.001375687843921961,0.02751375687843922,0.010153018631065823
3,0.0040131040131040135,0.02290236551939731,0.009837627297819389,0.9777503274355847,23.0,0.9956955038276469,6.097743675849793,-18.529251751191122,0.4726849534151583,0.0012694512694512695,0.025389025389025387,0.009229392479448076
4,0.00461133069828722,0.021614826516098966,0.008581034040703032,0.9777919634329658,23.0,0.9955312290050998,6.099059582381123,-18.492281872726444,0.5629765304707289,0.0011198945981554676,0.022397891963109356,0.007681103549769692
5,0.004478976234003657,0.02060519340226836,0.007402863082094118,0.9777599494780154,23.0,0.9960308179039575,6.100169488587816,-18.465828344884365,0.6378955220842093,0.0008226691042047533,0.016453382084095063,0.00731792263997514
6,0.004418604651162791,0.026912221694536463,0.011648012855653058,0.9777203812536652,23.0,0.9964264232051975,6.097969669574411,-18.476443287654227,0.588214178402162,0.0017441860465116279,0.03488372093023256,0.013332479538698478
7,0.0049382716049382715,0.026117890316903536,0.007906929810116441,0.9777949573221657,22.0,0.996091056182101,6.09744552710139,-18.50795681915733,0.5303756505178531,0.0012345679012345679,0.024691358024691357,0.006320030484097749
8,0.005490196078431373,0.02901465376721651,0.00698859941406147,0.9777516028617017,23.0,0.9963737288696916,6.099160831893487,-18.4606891221868,0.6595780146749531,0.0017647058823529412,0.03529411764705882,0.00813011885101098
9,0.004427083333333334,0.026179108796296296,0.010354507146511498,0.977907952951319,24.0,0.9965318195798504,6.099690717384992,-18.463490247687133,0.6983956705313126,0.0015625000000000003,0.03125,0.015765820994557034
10,0.00487012987012987,0.01625203222673589,0.004814079953079839,0.9777764778567958,23.0,0.9967290638995131,6.102493704489368,-18.41048554127938,0.7684376015750014,0.0006493506493506494,0.012987012987012988,0.0035120451871545636
11,0.0057251908396946565,0.018542249548086996,0.007121609201037803,0.9777601195395815,23.0,0.9963606154264442,6.104196372117263,-18.350969171795164,1.02158969946827,0.0007633587786259542,0.015267175572519083,0.004121904457944236
12,0.006578947368421054,0.02137247640017723,0.005756995515980458,0.9777160295594928,23.0,0.9965695826231605,6.10522131991785,-18.348517084719834,0.9375402665927651,0.0013157894736842107,0.02631578947368421,0.005617258739303887
13,0.005194805194805195,0.023080761230111883,0.005928888202562746,0.9778219633294295,23.0,0.996602514336092,6.103582180472405,-18.394015636496857,0.8553231259456614,0.0006493506493506494,0.012987012987012988,0.0026259818589602453
14,0.0030303030303030303,0.00796197266785502,0.0035693646237762895,0.9778729173607705,23.0,0.9968220353496483,6.102028523861588,-18.405277853620355,0.8584120533589147,0.0007575757575757576,0.015151515151515152,0.005471456499088881
15,0.010344827586206898,0.022737697085523173,0.008867270601718932,0.9779641036861226,24.0,0.9958790197926319,6.11229879833603,-18.20145338879354,1.6003985980396045,0.001724137931034483,0.034482758620689655,0.01905352875519129
16,0.006666666666666666,0.009196485431779549,0.0029825627940306383,0.9776468571293851,23.0,0.9966079763548507,6.106807842922835,-18.311014619312708,1.004350128454485,0.0011111111111111111,0.022222222222222223,0.0029006783681334155
17,0.004651162790697674,0.03376565295169946,0.014054734970321508,0.9777418483760384,23.0,0.9968960396770662,6.105508003955765,-18.322760516991266,1.0716175198503581,0.002325581395348837,0.046511627906976744,0.01467732263995803
18,0.00425531914893617,0.003735069055617768,0.0026845089311984646,0.9777957959403848,22.0,0.9972891031232022,6.096066896394692,-18.558034598813208,0.4372394311208504,0.0,0.0,0.0016957418081511464
19,0.0015625,0.0014204545454545455,0.004848567645817436,0.9777962574160408,21.0,0.9971289993935504,6.103863240155622,-18.382242723392118,0.7279564667747334,0.0,0.0,0.0027730171881042657
20,0.006896551724137932,0.009265064437478229,0.00365062806861349,0.977702794445062,22.0,0.9968234624583318,6.096577256924292,-18.51016510314088,0.6108593316024812,0.001724137931034483,0.034482758620689655,0.003721259865304821
21,0.0033333333333333335,0.0022988505747126436,0.0016301544245990213,0.9774495082580473,22.0,0.9974185598115716,6.109854792764126,-18.36337384100185,0.8723051419718981,0.0,0.0,0.001320840208663625
22,0.002777777777777778,0.013888888888888888,0.0027583690857702226,0.9775928456135993,21.0,0.9973337047239883,6.093372583910885,-18.458454145737626,0.5605330704770269,0.0,0.0,0.0006888485403531304
23,0.005555555555555556,0.009994121105232215,0.0018963774769371333,0.9778910071738287,22.0,0.9957531481674091,6.102662081754616,-18.192839116218494,1.2716730495480801,0.002777777777777778,0.05555555555555555,0.005261034927965211
24,0.0071428571428571435,0.005494505494505495,0.004295360765624223,0.9779132221768225,20.0,0.9965641964593549,6.08917405418707,-18.686744929918113,0.16033334353793183,0.0,0.0,0.0003217468918569356
25,0.008333333333333333,0.020833333333333332,0.0031020641967846162,0.9773824353519132,22.0,0.9972368726540872,6.111228821585584,-18.19991052918059,1.3571242481386248,0.0,0.0,0.00362910056119721
26,0.012500000000000002,0.04097222222222222,0.007889078630726418,0.9777665117414909,23.0,0.9965153432025101,6.11285840986644,-18.19217662330188,1.4540351076799876,0.008333333333333333,0.16666666666666666,0.013710353570876166
27,0.0038461538461538464,0.007692307692307693,0.004556382331705005,0.9775483900999745,21.0,0.9981887787911746,6.107356997998057,-18.3131771998665,0.859674632899337,0.0,0.0,0.0006755621928293663
28,0.0,0.0,0.0007298537188983656,0.9776290902978783,22.0,0.9969573376989499,6.10697861301389,-18.335990563044614,0.9720728464373399,0.0,0.0,0.0008919117257927899
